5.156.402,5.168.531,5.344.633,5.498.238,5.749.963,6.060.145,6.278.747,6.295.576,6.299.565,6.741.227,7.086.979,7.297.529,8.114.116,8165.25,9.182.316,9.224.067,9.427.083,9.560.505,9.565.208,9.591.046,10.075.703,10.197.547,10.283.771,11.738.804,13.804.314,clase
0,0,5.641,0,0,15.192,0,0,0,0,6.002,14.324,0,100,0,0,0,0,0,0,0,1.447,0,0.763,0,1
0,0.569,0,0,0,9.242,0,0,0,5.326,4.411,11.507,0,100,0,0,0,0,0,0,1.079,0,0,0,0,0
0,0,4.187,0,0,6.322,0,0,0,0.884,14.372,0,0,60.017,0,0,0,0,0,0,2.07,0,0.774,0,0,0
0,0,0,0,4.961,5.579,0,0,0,7.832,14.525,3.937,38.682,100,0,0,0,0,0.337,0,0.917,0,0.487,0,0,0
0,0,1.249,0,0,26.965,0,0,0,0,0,7.976,0,100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.632,0,0,16.993,0,0,0,0,3.816,8.184,0,100,0,0,0,0,0,0,1.771,0,0,0,0,0
4.99,0,9.925,0,0,20.866,0,0,0,0,15.368,2.7,0,75.801,0,0,0,0,0,0,1.808,0.648,0.49,2.136,0,1
3.008,0,4.936,0,0,14.303,0,0,0,0,0,5.204,0,100,0,0,0,0,0,0,0,0,0,0.478,0,1
0,2.459,5.551,0,0,38.356,0,0,0,0,8.608,9.498,0,100,0.569,0,0,0,0,0,1.031,0.492,0,3.04,0,1
5.675,0,9.197,0,0,18.352,0,0,0,5.601,5.814,11.793,0,100,0,0,0,0,0,0,0,0,0.392,1.064,0,0
0,0,1.505,0,0,7.922,0,0,0,0,4.598,1.342,0,100,0,0,0,0,0,0,0.663,0,0.582,0,0,0
4.882,0,7.292,0,0,24.046,0,0,0,0,25.858,4.974,0,57.581,0,0,0,0,0,0,1.552,0,0,1.897,0,0
3.043,2.299,0,0,0,11.318,0,0,0,7.783,7.237,2.488,45.14,92.071,0,0,0,0,0,0,0,0.795,0,0,0,0
0,0,13.606,0,0,11.104,0,0,0,0,3.682,7.06,0,100,0,0,0,0,0,0,1.094,0.663,0.416,0,0,0
18.347,0,22.968,0,0,11.849,0,0,0,0,0,23.021,0,100,1.406,0,0,0,0,0,1.008,0.473,0.387,2.731,0,0
3.826,0,0,0,0,7.237,0,0,0,2.66,1.374,4.016,0,100,0,0,0,0,0,0,0.558,0,0,0,0,0
0,0,5.452,0,0,10.836,0,0,0,0,13.475,5.979,0,76.993,0,0,0,0,0,0,0,0,0,0.821,0,1
0,2.611,0.75,0,0,5.735,0,0,0,0,12.613,1.693,38.693,100,0,0,0,0,0,0,0.894,0.763,0,0,0.081,0
1.134,1.166,0.378,0,0,3.951,0.471,0,0,4.824,0,3.805,0,100,0,0,0,0,0,0,0.699,0.671,0.59,0,0,0
4.67,0,4.649,0,0,14.96,0,0,0,0,11.804,6.011,0,81.169,0,0,0,0,0,0,2.703,1.723,0,0,0,1
0,1.793,0,0,0,3.347,0,0.483,0,6.39,7.359,2.057,34.218,100,0,0,0,0,0,0,0,0.893,0,0,0,1
1.981,2.357,0.305,0,0,2.882,0,0,0,6.654,7.51,2.941,36.433,76.291,0,0,0,0,0.169,0,0,0.502,0,0,0,0
1.759,0,0,0,0,4.736,0,0,0,7.115,13.393,5.5,39.098,92.527,0,0,0,0,0,0,0,0,0.445,0,0,0
2.495,0,6.585,0,0,0,0,0,0,0,1.821,10.821,0,100,0,0,0,0,0,0,0,0.999,0,0,0,0
2.689,0,0,0,0,3.338,0,0,0,7.198,9.318,4.302,42.959,100,0,0,0,0,0,0,0.668,0,0.569,0,0,0
0,0,0.791,0,0,0,0,0,0,5.724,4.696,10.427,39.19,81.212,0,0,0,0,0,0,0,0,0,0,0.085,0
0,0,0,3.905,0,13.041,0,0,0,6.595,3.973,10.566,0,100,0,0,0,0,0,0,0,0.933,0,0,0,1
4.515,2.233,6.877,0,0,12.429,0,0,0,0,6.28,11.988,0,100,0,0,0,0,0,0,1.942,1.365,0,0,0,1
0,0,5.243,0,0,13.428,0,0,0,0,10.967,15.221,0,60.159,0,0,0,0,0,0,0,0.715,0,0,0,1
0,13.487,13.111,0,0,2.657,0,0,0,0,5.932,9.801,0,100,0,0,0,0,0,0,0,1.514,0,0.168,0,1
3.167,0,6.141,0,0,20.127,0,0,0,9.37,11.025,7.055,0,95.939,0.85,0,0,0,0,0,2.473,1.618,0.852,1.154,0,1
3.901,0,6.523,0,0,35.12,0,0,0,0,5.083,20.282,0,100,0,0,0,0,0,0,0,0.993,0,0.829,0,0
0,0,4.072,0,0,11.998,0,0,0,0,4.385,17.185,0,100,0,0,0,0,0,0,0,0,0,0,0.107,0
6.909,0,10.906,0,0,14.35,0,0,0,0,13.669,7.704,0,100,0,0,0,0,0,0,0,1.295,0,0.646,0,0
0,0,0,0.398,0,4.265,0,0,0,7.737,6.638,6.493,37.509,100,0,0,0,0,0,0,0,0,0,0,0,0
